hour,n_days,naive_mae_eur_mwh,point_mae_eur_mwh,improvement_pct,coverage_P10_P90
0,28,10.79517857142857,11.139696037912517,-3.1914012742297215,0.8571428571428571
1,28,11.461160714285722,10.689331248469703,6.734304535612823,0.7857142857142857
2,28,11.44482142857143,11.155654351143978,2.5266193905442713,0.75
3,28,10.850178571428568,11.747245752102284,-8.267764210221706,0.8571428571428571
4,28,11.901428571428577,11.184135895753505,6.026946020556356,0.9285714285714286
5,28,11.223482142857149,11.73425858737943,-4.550962330771369,0.8928571428571429
6,28,13.149375000000001,13.166498604950599,-0.13022371748161454,0.7857142857142857
7,28,16.42196428571429,14.687669793424764,10.560822457750763,0.8928571428571429
8,28,28.341517857142865,19.79586087669727,30.15243228510377,0.8571428571428571
9,28,32.15901785714285,22.363933238275454,30.458282844268535,0.7857142857142857
10,28,28.50508928571429,21.480533250645898,24.64316447024372,0.75
11,28,22.96017857142857,20.21832583131064,11.941774457842701,0.75
12,28,20.66607142857143,19.04230362098608,7.857167305346902,0.7857142857142857
13,28,20.135178571428572,16.316700651974834,18.964211844001643,0.6785714285714286
14,28,20.058035714285715,18.385777520485878,8.337098495685813,0.75
15,28,22.683035714285715,20.731918006832498,8.601660430417645,0.6785714285714286
16,28,22.45241071428572,19.736559962358932,12.096031853714406,0.75
17,28,24.37901785714286,20.013889007036713,17.90526950546204,0.8571428571428571
18,28,29.783303571428576,20.652686504676314,30.6568310827391,0.8214285714285714
19,28,26.947142857142858,21.5308431740651,20.09971785057748,0.75
20,28,16.41857142857143,10.724981656930305,34.677741583126995,0.9285714285714286
21,28,19.05625,16.648655430882165,12.634146640172295,0.8928571428571429
22,28,15.037053571428572,13.8234335930274,8.070862903003373,0.8928571428571429
23,28,12.522767857142854,13.214500126516445,-5.523796953395044,0.8571428571428571
